PC	Variance	Percent	Cumulative
PC630	0.000196068986836844	0.0196068986836844	94.0235815073401
PC631	0.000195495755223544	0.0195495755223544	94.0431310828625
PC632	0.00019524310782467	0.019524310782467	94.0626553936449
PC633	0.000194785764243997	0.0194785764243997	94.0821339700693
PC634	0.000194177028438935	0.0194177028438935	94.1015516729132
PC635	0.000194099487216019	0.0194099487216019	94.1209616216348
PC636	0.00019383099968603	0.019383099968603	94.1403447216034
PC637	0.000193204278190322	0.0193204278190322	94.1596651494224
PC638	0.000192857438990986	0.0192857438990986	94.1789508933215
PC639	0.000192409560566893	0.0192409560566893	94.1981918493782
PC640	0.000192369437103455	0.0192369437103455	94.2174287930886
PC641	0.000191186219182493	0.0191186219182493	94.2365474150068
PC642	0.000191102818529791	0.0191102818529791	94.2556576968598
PC643	0.000190353717788218	0.0190353717788218	94.2746930686386
PC644	0.000190163560521486	0.0190163560521486	94.2937094246908
PC645	0.0001898994081105	0.01898994081105	94.3126993655018
PC646	0.000189528434146482	0.0189528434146482	94.3316522089165
PC647	0.000189207964906353	0.0189207964906353	94.3505730054071
PC648	0.000188819531537054	0.0188819531537054	94.3694549585608
PC649	0.000188412309907078	0.0188412309907078	94.3882961895515
PC650	0.000187401656540768	0.0187401656540768	94.4070363552056
PC651	0.000187065233889514	0.0187065233889514	94.4257428785946
PC652	0.000186934467644319	0.0186934467644319	94.444436325359
PC653	0.000186538267412872	0.0186538267412872	94.4630901521003
PC654	0.000186029764269111	0.0186029764269111	94.4816931285272
PC655	0.000185204766981762	0.0185204766981762	94.5002136052254
PC656	0.000184811922613434	0.0184811922613434	94.5186947974867
PC657	0.000184496135157279	0.0184496135157279	94.5371444110024
PC658	0.000183769593925568	0.0183769593925568	94.555521370395
PC659	0.000183692730951045	0.0183692730951045	94.5738906434901
PC660	0.00018274683304079	0.018274683304079	94.5921653267942
PC661	0.000182653666813762	0.0182653666813762	94.6104306934756
PC662	0.000182125913590132	0.0182125913590132	94.6286432848346
PC663	0.000181798204937549	0.0181798204937549	94.6468231053283
PC664	0.000181603684814422	0.0181603684814422	94.6649834738098
PC665	0.000181159846976942	0.0181159846976942	94.6830994585074
PC666	0.000180899249040221	0.0180899249040221	94.7011893834115
PC667	0.000180675991328913	0.0180675991328913	94.7192569825444
PC668	0.000180209206058528	0.0180209206058528	94.7372779031502
PC669	0.000179614036746026	0.0179614036746026	94.7552393068248
PC670	0.000179103501494611	0.0179103501494611	94.7731496569743
PC671	0.000178894439773522	0.0178894439773522	94.7910391009516
PC672	0.000178194175342369	0.0178194175342369	94.8088585184859
PC673	0.000177991301667211	0.0177991301667211	94.8266576486526
PC674	0.000177703674181889	0.0177703674181889	94.8444280160708
PC675	0.000177190487454696	0.0177190487454696	94.8621470648163
PC676	0.000176606824403201	0.0176606824403201	94.8798077472566
PC677	0.000176274355266657	0.0176274355266657	94.8974351827832
PC678	0.000176001673555416	0.0176001673555416	94.9150353501388
PC679	0.000175516933529319	0.0175516933529319	94.9325870434917
PC680	0.000175032021293396	0.0175032021293396	94.950090245621
PC681	0.000174603844417482	0.0174603844417482	94.9675506300628
PC682	0.000174288710510018	0.0174288710510018	94.9849795011138
PC683	0.000173766841948032	0.0173766841948032	95.0023561853086
PC684	0.00017331220219186	0.017331220219186	95.0196874055278
PC685	0.000172853074737963	0.0172853074737963	95.0369727130016
PC686	0.000172509712205584	0.0172509712205584	95.0542236842221
PC687	0.000172472605202344	0.0172472605202344	95.0714709447424
PC688	0.000172145275911906	0.0172145275911906	95.0886854723336
PC689	0.000171542373420858	0.0171542373420858	95.1058397096756
PC690	0.000171410458860322	0.0171410458860322	95.1229807555617
PC691	0.000170527470106286	0.0170527470106286	95.1400335025723
PC692	0.000170187531173856	0.0170187531173856	95.1570522556897
PC693	0.000170011541655671	0.0170011541655671	95.1740534098553
PC694	0.000169207386271904	0.0169207386271904	95.1909741484825
PC695	0.000168901132038694	0.0168901132038694	95.2078642616863
PC696	0.000168806600587336	0.0168806600587336	95.2247449217451
PC697	0.000168523719893808	0.0168523719893808	95.2415972937344
PC698	0.000167800377381176	0.0167800377381176	95.2583773314726
PC699	0.000167406980300138	0.0167406980300138	95.2751180295026
PC700	0.000167015245195019	0.0167015245195019	95.2918195540221
PC701	0.000166614201782249	0.0166614201782249	95.3084809742003
