Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
PRF1	0.911393348925261	6.2151341543514	6.15588561343522	1.01180474349838e-09	3.43694559968622e-09	11.200809227688
C1orf56	-0.459041701748514	7.75714055829228	-6.15495321964842	1.01759450851933e-09	3.45603286710272e-09	11.1952594094541
BNC2	-0.777854366855995	7.7596302134647	-6.15470771829647	1.01912433804256e-09	3.46064823843693e-09	11.1937982613511
DET1	-0.339928593384571	7.11906830870279	-6.15454415789077	1.02014480266795e-09	3.46353269801027e-09	11.1928248308023
UBL4A	0.292462929056684	10.109129228243	6.15388647401223	1.02425821758289e-09	3.47691542448688e-09	11.1889108673394
NACA2	-0.639134026060813	5.49916247947455	-6.15376699080958	1.02500724888695e-09	3.47887494628095e-09	11.188199849228
FMN1	-0.932072883394582	5.91135623973727	-6.15235927417871	1.03387248549835e-09	3.50837559924808e-09	11.1798238154641
CBX3	0.308793135093001	12.1158334975369	6.15216477582052	1.03510322911097e-09	3.51196357781127e-09	11.1786666752345
ELANE	-0.637244748858448	0.926659113300493	-6.15160632259194	1.03864495530652e-09	3.52338988858756e-09	11.1753444284436
KHDC1	0.745606693395707	4.28211945812808	6.15087619258053	1.04329331038972e-09	3.53856575481707e-09	11.1710013012317
IFI44	0.781847827152248	8.93724302134647	6.15055875671193	1.04532058684637e-09	3.54484804501216e-09	11.1691132072704
C3orf66	0.298016017373873	0.123642610837438	6.15045072802033	1.04601137935086e-09	3.54659676119432e-09	11.168470678456
ZBTB48	-0.371716371533575	8.2474224137931	-6.15037554209151	1.04649242089196e-09	3.54763383125276e-09	11.1680234967953
SMARCC1	0.337261392137197	11.7423449917898	6.15012781606112	1.04807890709997e-09	3.55241741030773e-09	11.1665501385861
ZFP82	0.4619951887738	6.87119852216749	6.1468654325226	1.06919220193801e-09	3.62337357323438e-09	11.147152214099
TRIM32	-0.284424004900307	8.94855016420361	-6.14615383081433	1.07385236475811e-09	3.63855748554146e-09	11.1429223604683
C5orf24	-0.344289733823361	10.2042931034483	-6.14484964102254	1.08244481674739e-09	3.66705795061361e-09	11.1351712802005
C21orf81	-0.65696133199688	1.54332282430213	-6.14404599762587	1.08777287918024e-09	3.68449177942101e-09	11.130395824396
SETD8	0.269261650517878	9.66715418719212	6.14032055015111	1.11280846111451e-09	3.76866169807541e-09	11.1082659237581
FAM160B2	-0.385792905668788	9.87746116584565	-6.14015348397964	1.11394425137621e-09	3.77187744171057e-09	11.1072738128948
PICALM	0.317316142109359	11.7679134646962	6.13869110609867	1.12393457378508e-09	3.80506903849808e-09	11.0985906661776
AQP10	-0.364890252812117	0.455752298850575	-6.13831823131021	1.12649585151229e-09	3.8131027887058e-09	11.0963769622011
MIPOL1	-0.563537155585259	7.22697701149425	-6.13796772779338	1.128908655594e-09	3.8206313658238e-09	11.0942961884681
MLLT10	0.334394836841531	9.29639523809524	6.1374358771612	1.13257945908729e-09	3.83241423649721e-09	11.0911390558783
ANKK1	-0.84315181646063	3.3118091954023	-6.13677980846468	1.13712366279195e-09	3.84714808200177e-09	11.0872449033368
C1orf31	0.42748800980065	8.53001773399015	6.13658750219765	1.13845902538242e-09	3.85102257926254e-09	11.0861035269859
SRM	0.436312852210715	10.0502588669951	6.13383364217111	1.15775040287256e-09	3.91562477604796e-09	11.0697625014889
RAET1G	0.765445875932735	2.7233	6.13377037522078	1.15819732999229e-09	3.9164822719993e-09	11.0693871651378
HSPA4L	0.913559369640278	6.67596247947455	6.13308228513374	1.1630689896662e-09	3.93229936205675e-09	11.065305249467
HTR3E	0.246809085644281	0.189377586206897	6.13293693995283	1.16410058554556e-09	3.93448148334262e-09	11.0644430820005
FAM71D	0.396503318855106	4.61695147783251	6.13293660623224	1.16410295517425e-09	3.93448148334262e-09	11.0644411024383
C6orf64	0.327724339013257	9.70734170771757	6.13289125589674	1.16442501523503e-09	3.93491330027361e-09	11.0641720944787
