Gene	RF_Importance
PADI2	0.237723300659658
TGM5	0.237396745256627
TPX2	0.236146183342718
DKK1	0.236015126679016
OBP2B	0.235703053251555
OLAH	0.233673884803876
NIPAL1	0.233262978031477
CDKN2A	0.232459591898631
FAM19A3	0.231684912998666
MDGA2	0.230670569680811
C20orf26	0.229567665046492
CPA4	0.227937560659243
CYP39A1	0.226686711232058
SLC34A2	0.226114320551198
LOC284233	0.224982270403169
METRN	0.224783490306581
SMOC1	0.224069922421792
SFRP1	0.222548691804733
PNPLA7	0.221718206850472
AGAP11	0.221514993055782
TMSB15A	0.221448913124762
ANKRD45	0.21966551001568
PLAC9	0.219630681302118
AKR7L	0.218991387554561
KCNJ11	0.218008068244116
GCNT2	0.21767857403117
GPR126	0.21721450130981
SLC44A4	0.216944132541785
SEMA3B	0.216905846963924
ENPP1	0.216328450299651
GALNT13	0.216019679160427
CLSTN2	0.215433193278409
IL12RB2	0.214999394951764
KLHDC9	0.214642186298568
PI3	0.214238789276188
WDR65	0.213996298714903
GPRC5C	0.213317472481184
RPH3AL	0.210874545026543
RGS22	0.210642406099424
PDZK1	0.210347830064635
CHST4	0.210188814591684
MMP12	0.209549915281668
ADAMTSL5	0.208848732910916
PLEKHG4B	0.208610180368552
SOX8	0.207534769438266
TNIP3	0.207296547924244
CMYA5	0.206945892689781
VTCN1	0.206562563165093
CDCA7	0.206050531870902
SERPINA11	0.206030795314608
IL22RA2	0.205156761649744
FOXM1	0.203578672084131
SLC15A2	0.203214041001303
SYNPO2L	0.202850672911625
ACSM5	0.202720451676945
CYP21A2	0.201719398478311
DIAPH3	0.199858362980282
RAB30	0.199704270891641
RIMS4	0.199355791186838
C9orf98	0.199090901149566
WISP2	0.198452927404422
C19orf21	0.198404158955715
ADD2	0.197427025408037
DEPDC1	0.196656031860536
CDCA8	0.196603593267557
AMTN	0.195617730328594
ABCA13	0.194865336999692
ACOX2	0.194775866733727
FABP7	0.193504858532646
IL6ST	0.193079085538717
TMEM40	0.192139231384944
BTNL9	0.19211406646341
FAM57B	0.190823745541659
PRSS33	0.190790660693226
ACE2	0.190332420472907
ATP6V1C2	0.190134280309333
ROPN1	0.189026093969591
BAIAP2L2	0.188266931633805
STX19	0.187039144432295
CA6	0.186329171508287
LAMP3	0.185965625512096
ZIC1	0.185790044840208
LDHD	0.185353721108275
DEGS2	0.184537466525981
LOC389033	0.183892075608983
CHI3L2	0.183480292179431
AKR7A3	0.183310666099635
SPEF1	0.182061188177795
CEP55	0.182059582518869
LYPD6	0.181873049791758
FFAR2	0.181538529434817
GBP5	0.181217383440343
S100B	0.18106835059478
C11orf86	0.181045696627303
C4orf32	0.180811627803451
PRAME	0.180228790119439
TRIM58	0.180025462821429
HAO1	0.179972597063851
RAB26	0.179964830916431
CCDC74A	0.179489194408475
CD300LG	0.178922796191108
BCL2L14	0.178657622351371
AR	0.178185058269929
KRT16	0.177313360948874
LOC100127888	0.177110504437119
KIF2C	0.176922816020917
SLC6A11	0.176493001737543
ANLN	0.176344089429247
ANKRD30B	0.1760597820828
AKR1B15	0.175479972179827
LOC645431	0.175218331065085
CWH43	0.174961232424364
PALM	0.174810170966535
GFRA3	0.174714365681831
GPR110	0.174345141529931
SAMD11	0.173861963311872
ELOVL2	0.173605881582622
PIK3CA	0.173349599280532
THPO	0.173347561457268
LY6D	0.172793420681388
SERPINB5	0.172546991262911
NEURL	0.171980397245708
TMEM71	0.171880978080692
PTCHD1	0.17138623866453
C6orf211	0.17076630362173
ANKRD24	0.170709421637832
DYNLRB2	0.170694525104184
IGF2BP3	0.170492113786105
DSG1	0.17046809873351
KIF15	0.170415602702686
RERG	0.169966334770656
TTC22	0.169717070234411
FANCA	0.169678003181217
RAET1L	0.16964597185258
C8orf46	0.169594808449497
UBXN10	0.169394360766691
KRT6A	0.16915489485283
CCNO	0.16887208728929
ZIC4	0.168723470363697
DEPDC1B	0.167313881046371
PART1	0.167059846190825
LIN7A	0.166514651241312
GSTM3	0.165498722802042
EGFR	0.165001766858156
C10orf90	0.164718537018553
SCRG1	0.164426555534908
PROM1	0.163483283989421
TNXB	0.163452275325969
GTSE1	0.163380662783513
AIF1L	0.163267689366785
SGOL1	0.163260176902621
HPN	0.162567120099669
SLC26A9	0.162558872996207
SMPD3	0.162533456656554
FAM72B	0.162233277121285
ADAMTS15	0.162187802062523
TRPM8	0.160963241115429
ZNF280B	0.160420544458165
CA9	0.160054114307626
CACNA1H	0.159488088432759
C1orf130	0.159460515234858
RARRES1	0.159267293668343
GRIK4	0.158633728244168
SLC38A3	0.158535710301054
GRPR	0.158535056916076
PLA2G4A	0.158411143546142
