Gene	RF_Importance	LASSO_Coefficient	Degree	logFC	adj.P.Val	Is_Mutated	Score
HORMAD1	0.740024362983449	0	0	4.41111868359506	1.69292343855035e-71	FALSE	4.69139553516812
TOP2A	0.125867647572185	0	300	1.25072463526003	3.19451203374195e-13	FALSE	4.68709072458811
FOXA1	0.783058547050355	0	0	-4.2851181200579	1.79234857412612e-64	FALSE	4.67803224280427
PRR15	0.950820663906782	0	0	-3.79353783049336	1.78472675037385e-74	FALSE	4.62541534654394
FAM47E	0.872533636685727	-0.0473310533264769	0	-2.50304773805546	1.02446970915569e-73	FALSE	4.4577542817309
UGT2B7	0.241606652903759	0.121862459920513	0	2.00653143779931	3.00346024850069e-31	FALSE	4.4178931031184
CXorf61	0.845447398304622	0	0	3.89651482570442	9.38970264292414e-76	FALSE	4.38048478150421
TTLL4	1.70157814441225	0	0	1.53830036529681	3.06976759807852e-75	FALSE	4.31517984116786
PKP1	0.0860743745777482	-0.134181045227281	0	1.90751825593051	2.54661637944534e-12	FALSE	4.2016221334713
EN1	1.02787525615909	0	0	3.26616443256488	2.45806572448946e-54	FALSE	4.1938672518632
C6orf97	1.01745355860623	0	0	-3.25477468760441	1.40056188247375e-72	FALSE	4.14050035422864
MMP17	0.513904137751396	-0.0921380264250518	0	-1.92009507517541	2.12558808892056e-38	FALSE	4.12489097069599
SLC7A8	1.32495335113796	0	0	-2.39146662434569	4.95401479886407e-66	FALSE	4.09502788091004
CDH1	0.145892131278028	0	290	0.174437331551406	0.378528119982842	TRUE	4.08946096925695
TTC36	0.874997501352587	0	0	-3.6008230448825	1.25135576567004e-55	FALSE	4.08876125616553
FREM2	0.406860686224474	0.111706771677361	0	1.52955410847533	1.33582031842792e-08	FALSE	3.9765860615737
ABCC8	0.493479849020017	0	0	-4.53247782381111	2.4351058453638e-62	FALSE	3.95679909649757
A2ML1	0.327637757443454	0	0	4.9646569551175	1.11277570826438e-64	FALSE	3.93617482255433
DNALI1	0.746625176323929	0	0	-3.7994046063036	2.01949671326236e-72	FALSE	3.88915297163854
XBP1	1.31432318089774	0	0	-2.23528399376324	2.48736778196079e-62	FALSE	3.84531598490949
ANKRD30A	0.085896950492661	0	0	-5.45567019489921	1.16240568431801e-48	FALSE	3.71841160404853
CCDC48	1.07396720662825	0	0	-2.72541777926272	1.72545290811678e-58	FALSE	3.63141180613994
TNIP3	0.207296547924244	0.110649487778695	0	1.8121403652968	2.73540919570265e-31	FALSE	3.58942576488142
GP2	0.331608398859213	0	0	-4.68182928833947	7.43984241002042e-43	FALSE	3.56860411592694
INA	0.276784347316075	0.0693735892048159	0	2.78207888851765	1.50505384780256e-50	FALSE	3.53008024940568
GATA3	0.603764170800481	0	0	-3.12023689274974	2.03854468200679e-60	TRUE	3.45108330700562
AGAP11	0.221514993055782	-0.111782060588459	0	-1.63595448490923	3.33647625764601e-30	FALSE	3.44778156271651
LRRC17	0.276926568162154	-0.0830646610362567	0	-2.31954341908899	4.89882449036831e-46	FALSE	3.4440789847124
BCAS1	0.513793045275949	0	0	-4.08336836618776	1.91181335460204e-59	FALSE	3.42417628175764
ARSG	1.19029283936977	0	0	-2.22709579463192	1.25012617647576e-61	FALSE	3.38222883484065
STOX2	0.335572764745552	0.102491385987469	0	1.52403111482348	4.51757914987946e-24	FALSE	3.34701128391273
ERBB4	0.424029423255485	0	0	-4.25886117830492	3.95358297020816e-60	FALSE	3.33408867324203
B3GNT5	1.09896890398441	0	0	2.40970545940527	2.99236850018706e-63	FALSE	3.29606808440437
PRTFDC1	1.40043852974407	0	0	1.55807237777035	4.34037198020253e-37	FALSE	3.24438924912596
SPTBN4	0.729529996967892	-0.033244278625816	0	-2.24635127965252	6.96350899575052e-45	FALSE	3.03600869256869
TGM5	0.237396745256627	0.0812844910495815	0	2.17384580911014	1.26510575751593e-27	FALSE	3.03321774785526
SCEL	0.128124017299906	0.0808560520153452	0	2.47355785944983	1.10255580599554e-30	FALSE	3.02297974275376
CORO6	0.649255223193756	-0.0512539165126965	0	-1.92871391246241	5.51793414886083e-21	FALSE	3.02244252872732
FLJ46111	0.464650558530721	-0.0771843322385191	0	-1.65650729034414	4.24719096672569e-33	FALSE	3.0014239199968
GPR110	0.174345141529931	0.106124339185415	0	1.54355845862568	1.46962140445809e-11	FALSE	2.9286282471576
ABCC11	0.271746290972591	0	0	-4.36174865352489	1.82494389199581e-42	FALSE	2.91807492953144
GABRP	0.279115914181998	0	0	4.31780220291792	1.80802260428993e-33	FALSE	2.88557084307787
MGC2889	0.504980930610878	0.0625124127396922	0	1.88068231206148	1.88170259740965e-53	FALSE	2.87438883567841
SCGB2A2	0.0563714756721081	0	0	-4.90762164383561	1.16483477527134e-25	FALSE	2.87050631364453
SLC44A4	0.216944132541785	0	0	-4.47057401715112	8.48333178813292e-63	FALSE	2.86534988773083
UGT8	0.589130834241974	0	0	3.45251134424769	3.1014362260091e-48	FALSE	2.84658636538652
ACBD7	0.625883850239921	0.0564336899305846	0	1.70645715558526	1.89263277679671e-31	FALSE	2.84068797201773
SCUBE2	0.260894778979947	0	0	-4.33234656197796	1.3843490271458e-59	FALSE	2.83881062756371
VAX1	0.13558690635435	0.105004248170489	0	1.56400397817129	1.77201696213504e-37	FALSE	2.77095530912989
SSPO	0.37080440038734	-0.078316614304403	0	-1.66561480565764	1.44104656738293e-24	FALSE	2.71622160650672
BCL11A	0.532431325822301	0	0	3.4323801024613	8.17270970541987e-49	FALSE	2.61275277620093
ELF5	0.387596267517372	0	0	3.81347812674017	6.74123529674194e-33	FALSE	2.59968829346448
ANXA9	0.667986296886627	0	0	-3.05352350818577	1.28103943741327e-59	FALSE	2.59502383809985
SERPINA11	0.206030795314608	0	0	-4.29038089987749	5.92529033147967e-46	FALSE	2.58217279574135
DOC2A	0.272591053359069	-0.0847384979040024	0	-1.57974310502283	7.31772992126298e-17	FALSE	2.49476873457125
FLJ45983	0.338745838118621	0	0	-3.85339706648847	2.30106635611187e-53	FALSE	2.47557591433181
PRKX	1.16284736678564	0	0	1.61872450161487	2.43058944637727e-48	FALSE	2.46042053883494
